2020-11-20_16-30-57.30, ypr, -4.05, 25.24, 11.00, areal, -9705, -1772, 3463
2020-11-20_16-30-57.32, ypr, -4.86, 22.99, 9.87, areal, -8163, -1659, 2722
2020-11-20_16-30-57.34, ypr, -5.61, 20.98, 9.24, areal, -6754, -1671, 1715
2020-11-20_16-30-57.36, ypr, -6.56, 19.33, 9.00, areal, -5781, -1699, 1230
2020-11-20_16-30-57.38, ypr, -7.83, 17.86, 8.96, areal, -5237, -1520, 965
2020-11-20_16-30-57.40, ypr, -8.44, 17.21, 8.98, areal, -5141, -1377, 936
2020-11-20_16-30-57.42, ypr, -9.16, 16.05, 9.05, areal, -5108, -1172, 946
2020-11-20_16-30-57.43, ypr, -9.41, 15.11, 9.00, areal, -4647, -1269, 904
2020-11-20_16-30-57.45, ypr, -9.51, 14.68, 8.94, areal, -4296, -1385, 764
2020-11-20_16-30-57.47, ypr, -9.84, 13.88, 8.84, areal, -3838, -1656, 543
2020-11-20_16-30-57.49, ypr, -10.19, 12.99, 8.73, areal, -3563, -1923, 496
2020-11-20_16-30-57.51, ypr, -10.56, 12.13, 8.73, areal, -3429, -1983, 301
2020-11-20_16-30-57.53, ypr, -10.80, 11.73, 8.77, areal, -3402, -2004, 319
2020-11-20_16-30-57.55, ypr, -11.23, 11.02, 8.79, areal, -3412, -1962, 270
2020-11-20_16-30-57.57, ypr, -11.50, 10.42, 8.74, areal, -3300, -1898, 94
2020-11-20_16-30-57.59, ypr, -11.64, 9.80, 8.62, areal, -3118, -1924, -22
2020-11-20_16-30-57.61, ypr, -11.78, 9.19, 8.41, areal, -2988, -1948, -56
2020-11-20_16-30-57.63, ypr, -11.97, 8.58, 8.20, areal, -2867, -2014, -13
2020-11-20_16-30-57.65, ypr, -12.21, 7.94, 8.00, areal, -2797, -1951, 49
2020-11-20_16-30-57.67, ypr, -12.36, 7.62, 7.95, areal, -2855, -1865, 66
2020-11-20_16-30-57.69, ypr, -12.65, 6.98, 7.88, areal, -2956, -1780, 326
2020-11-20_16-30-57.71, ypr, -12.74, 6.43, 7.65, areal, -2905, -1605, 491
2020-11-20_16-30-57.73, ypr, -12.69, 5.92, 7.31, areal, -2820, -1451, 413
2020-11-20_16-30-57.75, ypr, -12.46, 5.43, 6.94, areal, -2873, -1402, 474
2020-11-20_16-30-57.77, ypr, -12.26, 5.19, 6.72, areal, -2850, -1391, 400
2020-11-20_16-30-57.79, ypr, -11.77, 4.62, 6.33, areal, -2551, -1396, 148
2020-11-20_16-30-57.81, ypr, -10.68, 3.84, 5.88, areal, -2262, -1576, 31
2020-11-20_16-30-57.83, ypr, -8.63, 2.58, 5.45, areal, -2003, -1689, 109
2020-11-20_16-30-57.85, ypr, -4.96, 0.66, 5.17, areal, -1659, -1579, 262
2020-11-20_16-30-57.87, ypr, 1.67, -2.61, 4.89, areal, -956, -1423, 407
2020-11-20_16-30-57.89, ypr, 6.09, -4.71, 4.59, areal, -260, -1363, 413
2020-11-20_16-30-57.91, ypr, 16.35, -9.04, 3.49, areal, 838, -1301, 107
2020-11-20_16-30-57.93, ypr, 27.34, -13.86, 1.51, areal, 1671, -793, -110
2020-11-20_16-30-57.95, ypr, 37.98, -17.53, -0.77, areal, 2180, -216, -223
2020-11-20_16-30-57.97, ypr, 47.55, -19.63, -3.11, areal, 2723, 772, -336
2020-11-20_16-30-57.99, ypr, 51.56, -19.86, -3.98, areal, 3089, 1157, -157
2020-11-20_16-30-57.9999, ypr, 57.70, -19.22, -4.91, areal, 3510, 1228, 307
2020-11-20_16-30-57.9999, ypr, 62.28, -17.64, -4.84, areal, 3402, 1194, 564
2020-11-20_16-30-57.9999, ypr, 65.87, -16.11, -4.55, areal, 3658, 1419, 755
2020-11-20_16-30-57.9999, ypr, 67.27, -15.59, -4.37, areal, 3480, 1526, 780
2020-11-20_16-30-57.9999, ypr, 69.92, -14.58, -3.89, areal, 2771, 1489, 596
2020-11-20_16-30-58.00, ypr, 72.43, -13.54, -3.39, areal, 2654, 1266, 573
2020-11-20_16-30-58.02, ypr, 73.48, -13.13, -3.14, areal, 2736, 1283, 557
2020-11-20_16-30-58.04, ypr, 75.16, -12.40, -2.66, areal, 2884, 1350, 510
2020-11-20_16-30-58.06, ypr, 76.63, -11.67, -2.16, areal, 2839, 1175, 387
2020-11-20_16-30-58.08, ypr, 77.26, -11.31, -1.93, areal, 2824, 1045, 353
2020-11-20_16-30-58.09, ypr, 78.20, -10.70, -1.44, areal, 2714, 1017, 247
