2020-11-27_14-40-36-292, ypr, -65.60, 26.12, 20.53, areal, -3240, -2221, -2982
2020-11-27_14-40-36-310, ypr, -65.57, 25.97, 19.96, areal, -4013, -3344, -960
2020-11-27_14-40-36-328, ypr, -65.24, 25.09, 19.63, areal, -5204, -1700, 3266
2020-11-27_14-40-36-346, ypr, -64.83, 24.57, 19.91, areal, -4805, -585, 2623
2020-11-27_14-40-36-361, ypr, -64.60, 24.57, 20.14, areal, -4418, -728, 1038
2020-11-27_14-40-36-378, ypr, -64.28, 24.59, 20.13, areal, -4234, -2299, 661
2020-11-27_14-40-36-396, ypr, -64.13, 24.30, 19.56, areal, -4390, -4304, 2532
2020-11-27_14-40-36-411, ypr, -64.03, 24.23, 19.43, areal, -4337, -4669, 2150
2020-11-27_14-40-36-429, ypr, -63.67, 24.29, 19.75, areal, -4085, -2540, 51
2020-11-27_14-40-36-450, ypr, -63.29, 24.18, 19.85, areal, -4084, -1920, 1267
2020-11-27_14-40-36-468, ypr, -62.98, 24.00, 19.74, areal, -4099, -2881, 2527
2020-11-27_14-40-36-485, ypr, -62.54, 23.98, 19.97, areal, -4347, -2489, 221
2020-11-27_14-40-36-506, ypr, -62.02, 24.13, 20.26, areal, -4310, -2436, 6
2020-11-27_14-40-36-522, ypr, -61.92, 24.08, 20.01, areal, -4306, -3107, 1929
2020-11-27_14-40-36-540, ypr, -61.66, 23.86, 19.84, areal, -4268, -3066, 3514
2020-11-27_14-40-36-558, ypr, -61.24, 23.95, 20.30, areal, -4071, -1998, 139
2020-11-27_14-40-36-575, ypr, -60.67, 24.17, 20.73, areal, -4463, -1920, -880
2020-11-27_14-40-36-591, ypr, -60.53, 24.20, 20.56, areal, -4315, -2802, 430
2020-11-27_14-40-36-608, ypr, -60.28, 24.28, 20.28, areal, -4139, -3468, 1283
2020-11-27_14-40-36-626, ypr, -60.06, 24.19, 19.89, areal, -4333, -4603, 4285
2020-11-27_14-40-36-641, ypr, -59.95, 24.09, 19.95, areal, -4600, -2951, 3114
2020-11-27_14-40-36-659, ypr, -59.34, 24.37, 20.93, areal, -4487, -1549, -986
2020-11-27_14-40-36-677, ypr, -59.20, 24.75, 20.72, areal, -3870, -2766, -465
2020-11-27_14-40-36-692, ypr, -59.01, 24.84, 20.73, areal, -3993, -2435, 657
2020-11-27_14-40-36-710, ypr, -58.64, 24.64, 20.52, areal, -4887, -3387, 2867
2020-11-27_14-40-36-727, ypr, -58.35, 24.95, 20.82, areal, -4707, -2518, -1198
2020-11-27_14-40-36-749, ypr, -58.15, 25.53, 20.77, areal, -4018, -3461, -626
2020-11-27_14-40-36-767, ypr, -57.76, 25.41, 20.57, areal, -4818, -2140, 3930
2020-11-27_14-40-36-782, ypr, -57.46, 25.15, 20.70, areal, -5392, -2180, 5387
2020-11-27_14-40-36-801, ypr, -57.29, 25.19, 21.09, areal, -5231, -1838, 673
2020-11-27_14-40-36-818, ypr, -57.08, 26.04, 21.71, areal, -4643, -2687, -3041
2020-11-27_14-40-36-836, ypr, -57.29, 26.49, 20.87, areal, -3880, -4362, 1404
