2020-11-20_16-29-09.08, ypr, -27.46, 69.42, 9.10, areal, -9607, -1826, 5718
2020-11-20_16-29-09.09, ypr, -32.97, 73.32, 11.54, areal, -10237, -2118, 6247
2020-11-20_16-29-09.11, ypr, -40.86, 77.33, 14.27, areal, -10609, -2160, 6668
2020-11-20_16-29-09.13, ypr, -45.56, 79.17, 16.56, areal, -10771, -2207, 6751
2020-11-20_16-29-09.15, ypr, -55.71, 82.20, 23.82, areal, -10997, -2428, 7049
2020-11-20_16-29-09.17, ypr, -66.46, 84.60, 35.09, areal, -11454, -2691, 7605
2020-11-20_16-29-09.19, ypr, -72.17, 85.61, 44.67, areal, -11755, -2778, 7966
2020-11-20_16-29-09.21, ypr, -83.86, 86.84, 78.39, areal, -12230, -2808, 8584
2020-11-20_16-29-09.23, ypr, -91.88, 93.28, 108.50, areal, -12441, -2662, 8905
2020-11-20_16-29-09.24, ypr, -94.82, 93.42, 118.61, areal, -12575, -2449, 9010
2020-11-20_16-29-09.26, ypr, -98.53, 93.37, 133.32, areal, -13275, -1932, 9299
2020-11-20_16-29-09.28, ypr, -102.05, 93.54, 146.10, areal, -14031, -1530, 9754
2020-11-20_16-29-09.30, ypr, -103.59, 93.72, 149.85, areal, -14140, -1506, 9820
2020-11-20_16-29-09.32, ypr, -105.78, 93.91, 155.46, areal, -14050, -1893, 10425
2020-11-20_16-29-09.34, ypr, -106.43, 93.89, 158.99, areal, -13991, -2077, 10642
2020-11-20_16-29-09.36, ypr, -106.99, 93.74, 167.85, areal, -13891, -2021, 10643
2020-11-20_16-29-09.38, ypr, -106.05, 93.38, 176.52, areal, -14439, -1636, 10728
2020-11-20_16-29-09.39, ypr, -105.65, 93.23, 179.70, areal, -14804, -1462, 10939
2020-11-20_16-29-09.41, ypr, -106.22, 93.21, -179.23, areal, -15073, -1376, 11186
2020-11-20_16-29-09.43, ypr, -110.20, 93.61, -177.94, areal, -14684, -1791, 11085
2020-11-20_16-29-09.45, ypr, -110.76, 93.62, -176.08, areal, -14988, -1986, 11426
2020-11-20_16-29-09.47, ypr, -110.23, 93.33, -170.86, areal, -15145, -2104, 11989
2020-11-20_16-29-09.49, ypr, -106.30, 92.63, -155.77, areal, -14840, -1918, 12001
2020-11-20_16-29-09.51, ypr, -102.75, 92.27, -138.97, areal, -14612, -1649, 11844
2020-11-20_16-29-09.53, ypr, -91.06, 87.08, -85.02, areal, -14316, -1106, 11117
2020-11-20_16-29-09.54, ypr, -75.96, 85.04, -60.53, areal, -15459, -575, 10427
2020-11-20_16-29-09.56, ypr, -61.29, 83.16, -46.55, areal, -15567, -232, 10435
2020-11-20_16-29-09.58, ypr, -53.98, 82.02, -40.98, areal, -15294, -104, 10305
2020-11-20_16-29-09.60, ypr, -40.01, 78.82, -33.39, areal, -14288, 199, 9626
2020-11-20_16-29-09.62, ypr, -34.18, 76.75, -30.97, areal, -13980, 672, 8731
2020-11-20_16-29-09.64, ypr, -25.57, 72.30, -26.56, areal, -14044, 779, 7669
2020-11-20_16-29-09.66, ypr, -20.13, 68.17, -24.84, areal, -13362, 975, 6898
2020-11-20_16-29-09.68, ypr, -17.93, 65.90, -24.55, areal, -13031, 1193, 6230
2020-11-20_16-29-09.69, ypr, -15.98, 61.26, -23.50, areal, -13127, 1634, 5311
2020-11-20_16-29-09.71, ypr, -15.57, 56.82, -22.41, areal, -13258, 1450, 5723
2020-11-20_16-29-09.73, ypr, -15.36, 54.82, -21.92, areal, -13348, 1137, 5929
2020-11-20_16-29-09.75, ypr, -14.81, 51.47, -20.81, areal, -12020, 768, 5591
2020-11-20_16-29-09.77, ypr, -14.92, 48.04, -19.75, areal, -10184, 789, 4049
2020-11-20_16-29-09.79, ypr, -15.44, 44.00, -19.00, areal, -9214, 1626, 2390
2020-11-20_16-29-09.81, ypr, -15.93, 42.31, -18.51, areal, -9313, 1930, 2067
2020-11-20_16-29-09.83, ypr, -16.68, 39.34, -17.56, areal, -9611, 2076, 2134
2020-11-20_16-29-09.84, ypr, -16.46, 36.84, -17.00, areal, -9452, 1954, 2222
