2020-11-27_14-39-05-117, ypr, 4.93, -11.75, 0.40, areal, 3066, -273, -1841
2020-11-27_14-39-05-136, ypr, 5.28, -12.02, -0.00, areal, 1153, -1013, 50
2020-11-27_14-39-05-155, ypr, 5.47, -12.30, -0.01, areal, 690, 342, 3331
2020-11-27_14-39-05-173, ypr, 5.75, -12.24, 0.76, areal, 1297, 1719, 4525
2020-11-27_14-39-05-192, ypr, 6.05, -12.41, 1.19, areal, 1397, 870, 1901
2020-11-27_14-39-05-213, ypr, 6.27, -12.48, 1.64, areal, 1792, 961, 1260
2020-11-27_14-39-05-230, ypr, 6.53, -12.51, 1.84, areal, 2246, 326, 1097
2020-11-27_14-39-05-246, ypr, 6.72, -12.40, 2.14, areal, 3137, 666, -1385
2020-11-27_14-39-05-265, ypr, 7.15, -12.36, 1.73, areal, 2843, -2255, -1771
2020-11-27_14-39-05-283, ypr, 7.62, -12.44, 1.42, areal, 2227, -2247, -1309
2020-11-27_14-39-05-302, ypr, 7.99, -12.44, 0.95, areal, 1956, -3732, -151
2020-11-27_14-39-05-321, ypr, 8.40, -12.24, 1.20, areal, 3389, 116, -2508
2020-11-27_14-39-05-337, ypr, 8.65, -12.08, 1.58, areal, 3591, 2125, -2145
2020-11-27_14-39-05-355, ypr, 9.33, -12.05, 1.83, areal, 1788, 2425, 1574
2020-11-27_14-39-05-373, ypr, 9.74, -12.12, 1.73, areal, 1974, -297, 125
2020-11-27_14-39-05-391, ypr, 10.25, -12.11, 0.59, areal, 1674, -4464, 71
2020-11-27_14-39-05-407, ypr, 10.53, -12.01, 0.38, areal, 1211, -3841, 2106
2020-11-27_14-39-05-425, ypr, 11.07, -11.92, 1.38, areal, 985, 1743, 4281
2020-11-27_14-39-05-443, ypr, 11.90, -11.50, 2.94, areal, 2486, 5499, -670
2020-11-27_14-39-05-461, ypr, 12.74, -11.48, 3.09, areal, 1122, 1019, -191
2020-11-27_14-39-05-477, ypr, 13.16, -11.58, 2.48, areal, 1013, -2510, 2010
2020-11-27_14-39-05-496, ypr, 13.82, -11.24, 1.97, areal, 1857, -4207, -958
2020-11-27_14-39-05-518, ypr, 14.59, -10.77, 1.99, areal, 3176, -2249, -3483
2020-11-27_14-39-05-537, ypr, 15.55, -10.46, 2.27, areal, 1904, 696, -63
2020-11-27_14-39-05-555, ypr, 16.30, -10.28, 2.81, areal, 772, 1039, 3438
2020-11-27_14-39-05-574, ypr, 17.20, -9.92, 2.78, areal, 1556, -2339, 1228
2020-11-27_14-39-05-592, ypr, 18.17, -9.52, 2.72, areal, 2470, -2137, -4307
2020-11-27_14-39-05-612, ypr, 19.27, -9.04, 2.75, areal, 2234, -1035, -4424
2020-11-27_14-39-05-631, ypr, 20.40, -8.67, 2.80, areal, 1132, 1699, -226
2020-11-27_14-39-05-647, ypr, 20.92, -8.40, 3.30, areal, 1441, 3799, -422
2020-11-27_14-39-05-665, ypr, 22.06, -7.80, 3.51, areal, 1489, 2065, 1086
2020-11-27_14-39-05-683, ypr, 23.32, -7.42, 3.10, areal, 399, -503, 3261
2020-11-27_14-39-05-701, ypr, 24.57, -6.98, 2.95, areal, -57, -2399, 3981
2020-11-27_14-39-05-718, ypr, 25.21, -6.71, 2.86, areal, 178, -3611, 2689
2020-11-27_14-39-05-736, ypr, 26.52, -6.09, 2.85, areal, 941, -3748, -752
2020-11-27_14-39-05-755, ypr, 27.80, -5.38, 2.67, areal, 1187, -2959, -713
2020-11-27_14-39-05-774, ypr, 29.16, -4.72, 3.53, areal, 766, 345, 741
2020-11-27_14-39-05-791, ypr, 30.54, -4.17, 3.92, areal, 363, -69, -457
2020-11-27_14-39-05-814, ypr, 31.95, -3.48, 3.95, areal, 282, -1994, -668
2020-11-27_14-39-05-833, ypr, 33.42, -2.77, 3.77, areal, -43, -2791, 2903
2020-11-27_14-39-05-852, ypr, 35.07, -2.09, 4.82, areal, -549, 1607, -271
2020-11-27_14-39-05-872, ypr, 36.67, -1.36, 6.04, areal, -391, 3667, -1689
2020-11-27_14-39-05-888, ypr, 37.49, -0.90, 6.19, areal, -105, 3088, 208
2020-11-27_14-39-05-907, ypr, 39.32, -0.19, 6.03, areal, -971, -1394, 2993
2020-11-27_14-39-05-926, ypr, 41.19, 0.63, 6.03, areal, -538, -4131, 412
2020-11-27_14-39-05-945, ypr, 43.14, 1.63, 5.59, areal, -466, -5644, -1492
