2020-11-20_16-19-44.9999, ypr, 1.77, -3.43, -1.80, areal, 756, 328, -584
2020-11-20_16-19-44.9999, ypr, 1.95, -4.92, -1.96, areal, 1142, 445, -556
2020-11-20_16-19-44.9999, ypr, 1.99, -6.58, -2.05, areal, 1639, 435, -435
2020-11-20_16-19-44.9999, ypr, 1.96, -7.56, -2.08, areal, 1753, 402, -422
2020-11-20_16-19-44.9999, ypr, 1.79, -9.70, -1.99, areal, 2361, 408, -240
2020-11-20_16-19-44.9999, ypr, 1.28, -12.05, -1.72, areal, 3018, 434, -83
2020-11-20_16-19-44.9999, ypr, 0.95, -13.31, -1.58, areal, 3272, 402, -8
2020-11-20_16-19-44.9999, ypr, 0.50, -15.82, -1.24, areal, 3730, 352, 292
2020-11-20_16-19-44.9999, ypr, 0.08, -18.12, -1.00, areal, 4438, 335, 692
2020-11-20_16-19-44.9999, ypr, -0.20, -19.23, -1.01, areal, 4824, 337, 819
2020-11-20_16-19-44.9999, ypr, -1.03, -21.56, -1.30, areal, 5681, 115, 989
2020-11-20_16-19-44.9999, ypr, -1.96, -23.87, -1.52, areal, 6221, 169, 1319
2020-11-20_16-19-44.9999, ypr, -2.33, -24.81, -1.67, areal, 6611, 216, 1576
2020-11-20_16-19-44.9999, ypr, -3.15, -26.57, -1.93, areal, 7393, 350, 1747
2020-11-20_16-19-44.9999, ypr, -3.59, -28.45, -2.08, areal, 8054, 919, 2327
2020-11-20_16-19-44.9999, ypr, -4.03, -29.16, -2.10, areal, 8135, 958, 2934
2020-11-20_16-19-44.9999, ypr, -4.86, -30.10, -3.03, areal, 7771, 676, 3695
2020-11-20_16-19-44.9999, ypr, -5.73, -30.47, -4.65, areal, 8259, 853, 3438
2020-11-20_16-19-44.9999, ypr, -6.17, -30.81, -5.31, areal, 8603, 762, 3180
2020-11-20_16-19-44.9999, ypr, -6.86, -31.80, -5.88, areal, 9158, 792, 3105
2020-11-20_16-19-44.9999, ypr, -7.25, -33.25, -6.18, areal, 9040, 942, 3667
2020-11-20_16-19-44.9999, ypr, -7.27, -33.85, -6.48, areal, 9011, 1038, 4214
2020-11-20_16-19-44.9999, ypr, -7.04, -34.52, -7.65, areal, 9321, 1582, 5246
2020-11-20_16-19-44.9999, ypr, -6.95, -34.60, -8.52, areal, 9543, 1662, 5495
2020-11-20_16-19-44.9999, ypr, -6.71, -34.54, -10.01, areal, 10101, 1689, 5378
2020-11-20_16-19-44.9999, ypr, -6.28, -34.28, -10.55, areal, 10389, 1852, 5294
2020-11-20_16-19-45.00, ypr, -5.99, -34.07, -10.50, areal, 10426, 2009, 5379
2020-11-20_16-19-45.03, ypr, -5.43, -33.35, -10.07, areal, 10204, 2231, 5650
2020-11-20_16-19-45.05, ypr, -4.83, -32.14, -9.77, areal, 10122, 2282, 5871
2020-11-20_16-19-45.08, ypr, -4.54, -31.33, -9.67, areal, 10108, 2304, 5975
2020-11-20_16-19-45.11, ypr, -4.01, -29.52, -9.58, areal, 9878, 2370, 5899
2020-11-20_16-19-45.13, ypr, -3.32, -27.37, -9.47, areal, 9368, 2480, 5704
2020-11-20_16-19-45.16, ypr, -3.01, -26.11, -9.40, areal, 9127, 2506, 5575
2020-11-20_16-19-45.18, ypr, -2.64, -23.18, -9.08, areal, 8713, 2518, 5221
2020-11-20_16-19-45.21, ypr, -2.40, -20.14, -8.71, areal, 8234, 2271, 4678
2020-11-20_16-19-45.24, ypr, -2.31, -18.63, -8.56, areal, 7882, 2299, 4555
2020-11-20_16-19-45.26, ypr, -2.09, -15.59, -8.40, areal, 7477, 2251, 4121
2020-11-20_16-19-45.29, ypr, -1.71, -12.46, -8.23, areal, 6957, 2286, 3678
2020-11-20_16-19-45.32, ypr, -1.44, -9.32, -7.84, areal, 6464, 2305, 3032
2020-11-20_16-19-45.34, ypr, -1.44, -6.15, -6.79, areal, 5938, 2113, 2723
2020-11-20_16-19-45.37, ypr, -1.72, -4.52, -6.09, areal, 5480, 2060, 2627
2020-11-20_16-19-45.39, ypr, -2.33, -1.50, -4.81, areal, 4556, 1949, 2445
2020-11-20_16-19-45.42, ypr, -2.87, 1.13, -3.70, areal, 3685, 1803, 2187
2020-11-20_16-19-45.45, ypr, -3.15, 3.72, -2.61, areal, 2811, 1598, 2097
2020-11-20_16-19-45.47, ypr, -3.17, 5.15, -2.10, areal, 2429, 1347, 1940
2020-11-20_16-19-45.50, ypr, -3.39, 8.28, -0.81, areal, 1771, 893, 1636
2020-11-20_16-19-45.53, ypr, -3.77, 11.33, 0.45, areal, 1257, 595, 1541
2020-11-20_16-19-45.55, ypr, -3.85, 12.66, 0.88, areal, 868, 473, 1324
2020-11-20_16-19-45.58, ypr, -3.46, 15.11, 1.60, areal, 249, 243, 1078
2020-11-20_16-19-45.60, ypr, -3.24, 16.25, 1.86, areal, -46, 165, 956
2020-11-20_16-19-45.63, ypr, -2.98, 18.55, 2.50, areal, -614, -109, 777
2020-11-20_16-19-45.66, ypr, -2.74, 19.79, 2.99, areal, -920, -156, 667
2020-11-20_16-19-45.68, ypr, -2.28, 22.26, 4.01, areal, -1548, -247, 616
2020-11-20_16-19-45.71, ypr, -1.57, 24.36, 4.76, areal, -2188, -578, 361
2020-11-20_16-19-45.74, ypr, -0.97, 25.29, 5.25, areal, -2443, -620, 366
2020-11-20_16-19-45.76, ypr, 0.21, 26.88, 6.14, areal, -2844, -589, 424
2020-11-20_16-19-45.79, ypr, 0.72, 27.58, 6.59, areal, -3122, -700, 386
2020-11-20_16-19-45.81, ypr, 1.43, 28.78, 7.44, areal, -3692, -946, 422
2020-11-20_16-19-45.84, ypr, 1.82, 29.92, 8.12, areal, -3983, -587, 572
2020-11-20_16-19-45.87, ypr, 1.97, 30.49, 8.36, areal, -4160, -442, 611
2020-11-20_16-19-45.89, ypr, 2.73, 31.48, 8.73, areal, -4722, -323, 835
2020-11-20_16-19-45.92, ypr, 3.37, 31.94, 8.69, areal, -4966, -368, 1088
2020-11-20_16-19-45.95, ypr, 4.89, 33.16, 7.64, areal, -5320, 35, 2099
2020-11-20_16-19-45.97, ypr, 6.04, 33.91, 6.46, areal, -5737, 156, 1987
2020-11-20_16-19-45.00, ypr, 8.37, 34.97, 4.39, areal, -6086, 444, 1036
2020-11-20_16-19-45.9999, ypr, 9.73, 35.64, 3.64, areal, -5932, 641, 473
2020-11-20_16-19-45.9999, ypr, 10.09, 35.73, 3.60, areal, -6019, 679, 499
2020-11-20_16-19-45.9999, ypr, 10.35, 35.82, 3.84, areal, -6154, 456, 797
2020-11-20_16-19-45.9999, ypr, 10.22, 35.82, 4.03, areal, -6198, 243, 1024
2020-11-20_16-19-45.9999, ypr, 9.64, 36.01, 4.38, areal, -6839, 297, 2555
2020-11-20_16-19-45.9999, ypr, 9.84, 36.36, 4.07, areal, -7303, 287, 3279
2020-11-20_16-19-45.9999, ypr, 11.06, 37.52, 2.76, areal, -7195, 697, 2391
2020-11-20_16-19-45.9999, ypr, 11.27, 37.97, 2.60, areal, -7243, 725, 1329
