1970-01-01_01-09-19-905, ypr, 43.49, 9.62, 14.35, areal, -2398, -1660, -816, accel, -1030, 341, 7009, gyro, -6, 23, 26

1970-01-01_01-09-19-929, ypr, 42.57, 8.87, 13.82, areal, -2255, -1770, -844, accel, -992, 163, 7016, gyro, -6, 28, 30

1970-01-01_01-09-19-956, ypr, 41.20, 7.66, 13.35, areal, -2063, -616, -2043, accel, -972, 1258, 5856, gyro, -5, 28, 25

1970-01-01_01-09-19-980, ypr, 40.49, 6.85, 13.13, areal, -2315, -923, -2112, accel, -1338, 924, 5809, gyro, -9, 24, 21

1970-01-01_01-09-20-007, ypr, 39.61, 5.80, 12.27, areal, -1873, -2239, -2973, accel, -1046, -508, 4991, gyro, -8, 22, 18

1970-01-01_01-09-20-031, ypr, 39.09, 5.26, 11.91, areal, -1359, -1495, -3022, accel, -609, 189, 4959, gyro, -10, 21, 16

1970-01-01_01-09-20-058, ypr, 38.45, 4.38, 11.42, areal, -1007, -1375, -3161, accel, -382, 242, 4845, gyro, -7, 20, 13

1970-01-01_01-09-20-082, ypr, 38.09, 3.92, 11.14, areal, -950, -1030, -4322, accel, -390, 549, 3697, gyro, -14, 17, 11

1970-01-01_01-09-20-107, ypr, 37.83, 2.95, 10.17, areal, -1990, -1944, -1432, accel, -1569, -499, 6621, gyro, -8, 11, 5

1970-01-01_01-09-20-131, ypr, 37.71, 2.64, 10.17, areal, -1395, 81, -2201, accel, -1019, 1526, 5853, gyro, -12, 9, 2

1970-01-01_01-09-20-156, ypr, 37.65, 1.81, 9.59, areal, -2687, -245, 2375, accel, -2429, 1119, 10449, gyro, -10, 5, 2

1970-01-01_01-09-20-179, ypr, 37.66, 1.37, 9.12, areal, -2747, -1438, 1594, accel, -2552, -140, 9681, gyro, -3, 2, 1

1970-01-01_01-09-20-203, ypr, 37.66, 0.96, 8.79, areal, -3265, -1505, 1415, accel, -3128, -254, 9510, gyro, -5, 0, 2

1970-01-01_01-09-20-228, ypr, 37.68, 0.46, 8.50, areal, -2930, -1384, 1195, accel, -2864, -174, 9297, gyro, -1, -3, 0

1970-01-01_01-09-20-252, ypr, 37.69, 0.38, 8.19, areal, -2143, -1927, 223, accel, -2090, -760, 8332, gyro, -5, -3, 1

1970-01-01_01-09-20-281, ypr, 37.69, 0.42, 7.70, areal, -1431, -1282, 1006, accel, -1372, -185, 9125, gyro, -2, -9, 0

1970-01-01_01-09-20-307, ypr, 37.77, 0.95, 7.59, areal, -940, -971, 606, accel, -805, 111, 8726, gyro, -3, -20, -2

1970-01-01_01-09-20-332, ypr, 38.03, 1.45, 7.31, areal, -622, -1626, -20, accel, -415, -585, 8103, gyro, -1, -20, -12

1970-01-01_01-09-20-358, ypr, 38.86, 2.18, 7.08, areal, -592, -1874, -354, accel, -280, -866, 7770, gyro, 3, -25, -22

1970-01-01_01-09-20-383, ypr, 39.56, 2.82, 7.08, areal, -652, -1681, -574, accel, -249, -673, 7545, gyro, 6, -30, -24

1970-01-01_01-09-20-409, ypr, 40.69, 3.98, 7.32, areal, -777, -1103, -1127, accel, -209, -62, 6979, gyro, 6, -35, -26

1970-01-01_01-09-20-433, ypr, 41.51, 4.77, 7.46, areal, -1018, -1306, -995, accel, -338, -247, 7099, gyro, 6, -37, -27

1970-01-01_01-09-20-459, ypr, 42.87, 5.87, 7.64, areal, -1778, -1514, 611, accel, -941, -432, 8688, gyro, 11, -40, -30

1970-01-01_01-09-20-485, ypr, 44.12, 6.96, 8.15, areal, -1621, -966, 652, accel, -628, 186, 8703, gyro, 10, -35, -23

1970-01-01_01-09-20-509, ypr, 44.77, 7.62, 8.43, areal, -1535, -980, 794, accel, -450, 210, 8827, gyro, 9, -29, -20

1970-01-01_01-09-20-533, ypr, 45.34, 8.08, 8.61, areal, -1478, -1175, 415, accel, -327, 39, 8435, gyro, 9, -24, -17

1970-01-01_01-09-20-558, ypr, 45.92, 8.63, 8.76, areal, -1581, -1318, -791, accel, -352, -85, 7214, gyro, 3, -17, -10

